Company,Revenue ($B) USD[8],Employees[8],Revenue per employee ($K USD)[8],Country (origin),Headquarters
Apple,$383.93,"147,000",1867.44897,US,"Cupertino, California, US"
Samsung Electronics,$200.734,"267,937",749.18357,South Korea,"Suwon, South Korea"
Alphabet,$182.527,"135,301",1349.04398,US,"Mountain View, California, US"
Foxconn,$181.945,"878,429",207.12544,Taiwan,"New Taipei City, Taiwan"
Microsoft,$143.015,"163,000",877.39263,US,"Redmond, Washington, US"
Huawei,$129.184,"197,000",655.75634,China,"Shenzhen, China"
Dell Technologies,$92.224,"158,000",583.6962,US,"Round Rock, Texas, US"
Meta,$85.965,"58,604",1466.87939,US,"Menlo Park, California, US"
Sony,$84.893,"109,700",773.86508,Japan,"Tokyo, Japan"
Hitachi,$82.345,"350,864",234.69207,Japan,"Tokyo, Japan"
Intel,$77.867,"110,600",704.04159,US,"Santa Clara, California, US"
IBM,$73.620,"364,800",201.80921,US,"Armonk, New York, US"
Tencent,$69.864,"85,858",813.71567,China,"Shenzhen, China"
Panasonic,$63.191,"243,540",259.46867,Japan,"Osaka, Japan"
Lenovo,$60.742,"71,500",849.53846,China,"Hong Kong, China[6]"
HP Inc.,$56.639,"53,000",1068.66037,US,"Palo Alto, California, US"
LG Electronics,$53.625,"75,000",715.00000,South Korea,"Seoul, South Korea"
